geography,education_group,reference_group,comparison_group,metric,unit,reference_value,comparison_value,absolute_gap,relative_gap_percent
Cali A.M.,General,Arrendatarios,Propietarios con vivienda pagada,median_income_per_capita_cop,COP,925000.0,1256666.6666666667,-331666.66666666674,-26.392572944297086
Cali A.M.,General,Arrendatarios,Propietarios con vivienda pagada,median_effective_payment_cop,COP,600000.0,0.0,600000.0,
Cali A.M.,General,Arrendatarios,Propietarios con vivienda pagada,median_effective_burden_percent,percentage points,27.272727272727273,0.0,27.272727272727273,
Cali A.M.,General,Arrendatarios,Propietarios con vivienda pagada,median_equivalent_burden_percent,percentage points,27.272727272727273,24.32794063982484,2.944786632902435,12.104545454545459
Cali A.M.,General,Arrendatarios,Propietarios que pagan su vivienda,median_income_per_capita_cop,COP,925000.0,1690277.7777777778,-765277.7777777778,-45.275267050123254
Cali A.M.,General,Arrendatarios,Propietarios que pagan su vivienda,median_effective_payment_cop,COP,600000.0,900000.0,-300000.0,-33.333333333333336
Cali A.M.,General,Arrendatarios,Propietarios que pagan su vivienda,median_effective_burden_percent,percentage points,27.272727272727273,18.133333333333333,9.13939393939394,50.40106951871658
Cali A.M.,General,Arrendatarios,Propietarios que pagan su vivienda,median_equivalent_burden_percent,percentage points,27.272727272727273,21.62162162162162,5.651105651105652,26.13636363636364
Cali A.M.,General,Arrendatarios,Otras formas de tenencia,median_income_per_capita_cop,COP,925000.0,788853.3333333334,136146.66666666663,17.258806030694334
Cali A.M.,General,Arrendatarios,Otras formas de tenencia,median_equivalent_burden_percent,percentage points,27.272727272727273,32.432432432432435,-5.159705159705162,-15.909090909090915
Cali A.M.,Primaria o menos,Arrendatarios,Propietarios con vivienda pagada,median_income_per_capita_cop,COP,641166.6666666666,816840.0,-175673.33333333337,-21.506455772652338
Cali A.M.,Primaria o menos,Arrendatarios,Propietarios con vivienda pagada,median_effective_payment_cop,COP,520000.0,0.0,520000.0,
Cali A.M.,Primaria o menos,Arrendatarios,Propietarios con vivienda pagada,median_effective_burden_percent,percentage points,30.76923076923077,0.0,30.76923076923077,
Cali A.M.,Primaria o menos,Arrendatarios,Propietarios con vivienda pagada,median_equivalent_burden_percent,percentage points,30.76923076923077,27.4390243902439,3.330206378986869,12.136752136752145
Cali A.M.,Primaria o menos,Arrendatarios,Propietarios que pagan su vivienda,median_income_per_capita_cop,COP,641166.6666666666,711750.0,-70583.33333333337,-9.916871560707182
Cali A.M.,Primaria o menos,Arrendatarios,Propietarios que pagan su vivienda,median_effective_payment_cop,COP,520000.0,450000.0,70000.0,15.555555555555555
Cali A.M.,Primaria o menos,Arrendatarios,Propietarios que pagan su vivienda,median_effective_burden_percent,percentage points,30.76923076923077,22.68431001890359,8.084920750327178,35.64102564102564
Cali A.M.,Primaria o menos,Arrendatarios,Propietarios que pagan su vivienda,median_equivalent_burden_percent,percentage points,30.76923076923077,23.728813559322035,7.040417209908735,29.670329670329668
Cali A.M.,Primaria o menos,Arrendatarios,Otras formas de tenencia,median_income_per_capita_cop,COP,641166.6666666666,683325.0,-42158.33333333337,-6.169587433993104
Cali A.M.,Primaria o menos,Arrendatarios,Otras formas de tenencia,median_equivalent_burden_percent,percentage points,30.76923076923077,35.12469265893923,-4.355461889708462,-12.399999999999991
Cali A.M.,Secundaria y media,Arrendatarios,Propietarios con vivienda pagada,median_income_per_capita_cop,COP,762500.0,1141333.3333333333,-378833.33333333326,-33.19217289719626
Cali A.M.,Secundaria y media,Arrendatarios,Propietarios con vivienda pagada,median_effective_payment_cop,COP,600000.0,0.0,600000.0,
Cali A.M.,Secundaria y media,Arrendatarios,Propietarios con vivienda pagada,median_effective_burden_percent,percentage points,28.125,0.0,28.125,
Cali A.M.,Secundaria y media,Arrendatarios,Propietarios con vivienda pagada,median_equivalent_burden_percent,percentage points,28.125,24.709661477637756,3.4153385223622443,13.821875000000004
Cali A.M.,Secundaria y media,Arrendatarios,Propietarios que pagan su vivienda,median_income_per_capita_cop,COP,762500.0,1155500.0,-393000.0,-34.01125054089139
Cali A.M.,Secundaria y media,Arrendatarios,Propietarios que pagan su vivienda,median_effective_payment_cop,COP,600000.0,700000.0,-100000.0,-14.285714285714286
Cali A.M.,Secundaria y media,Arrendatarios,Propietarios que pagan su vivienda,median_effective_burden_percent,percentage points,28.125,19.318338622878432,8.806661377121568,45.58705357142858
Cali A.M.,Secundaria y media,Arrendatarios,Propietarios que pagan su vivienda,median_equivalent_burden_percent,percentage points,28.125,24.638127502309825,3.4868724976901753,14.152343749999998
Cali A.M.,Secundaria y media,Arrendatarios,Otras formas de tenencia,median_income_per_capita_cop,COP,762500.0,700000.0,62500.0,8.928571428571429
Cali A.M.,Secundaria y media,Arrendatarios,Otras formas de tenencia,median_equivalent_burden_percent,percentage points,28.125,32.432432432432435,-4.307432432432435,-13.281250000000007
Cali A.M.,"Técnico, tecnólogo o pregrado",Arrendatarios,Propietarios con vivienda pagada,median_income_per_capita_cop,COP,1400000.0,1866666.6666666667,-466666.66666666674,-25.0
Cali A.M.,"Técnico, tecnólogo o pregrado",Arrendatarios,Propietarios con vivienda pagada,median_effective_payment_cop,COP,770000.0,0.0,770000.0,
Cali A.M.,"Técnico, tecnólogo o pregrado",Arrendatarios,Propietarios con vivienda pagada,median_effective_burden_percent,percentage points,25.0,0.0,25.0,
Cali A.M.,"Técnico, tecnólogo o pregrado",Arrendatarios,Propietarios con vivienda pagada,median_equivalent_burden_percent,percentage points,25.0,23.0430320943351,1.9569679056649,8.492666666666672
Cali A.M.,"Técnico, tecnólogo o pregrado",Arrendatarios,Propietarios que pagan su vivienda,median_income_per_capita_cop,COP,1400000.0,2000000.0,-600000.0,-30.0
Cali A.M.,"Técnico, tecnólogo o pregrado",Arrendatarios,Propietarios que pagan su vivienda,median_effective_payment_cop,COP,770000.0,1000000.0,-230000.0,-23.0
