geography,education_group,tenure_group,sample_household_months,cell_size_flag,average_monthly_households,valid_income_sample,valid_effective_sample,valid_equivalent_sample,q1_income_per_capita_cop,median_income_per_capita_cop,q3_income_per_capita_cop,q1_effective_payment_cop,median_effective_payment_cop,q3_effective_payment_cop,q1_effective_burden_percent,median_effective_burden_percent,q3_effective_burden_percent,q1_equivalent_cost_cop,median_equivalent_cost_cop,q3_equivalent_cost_cop,q1_equivalent_burden_percent,median_equivalent_burden_percent,q3_equivalent_burden_percent,effective_over_30_percent,equivalent_over_30_percent
Cali A.M.,General,Propietarios con vivienda pagada,2708,adequate,216058.08331869,2490,2490,2441,711750.0,1256666.6666666667,2192000.0,0.0,0.0,0.0,0.0,0.0,0.0,550000.0,800000.0,1200000.0,15.555555555555555,24.32794063982484,40.92261904761905,0.0,38.408407463496836
Cali A.M.,General,Propietarios que pagan su vivienda,558,adequate,38565.33988442925,530,516,523,956700.0,1690277.7777777778,3333333.3333333335,540000.0,900000.0,1527000.0,11.097560975609756,18.133333333333333,28.985507246376812,700000.0,1000000.0,1500000.0,14.634146341463415,21.62162162162162,34.20557550880793,23.853471650572313,30.939341120117067
Cali A.M.,General,Arrendatarios,5279,adequate,452653.667017733,5056,5046,5046,530875.0,925000.0,1533333.3333333333,500000.0,600000.0,820000.0,17.973856209150327,27.272727272727273,40.90909090909091,500000.0,600000.0,820000.0,17.973856209150327,27.272727272727273,40.90909090909091,43.440017475885014,43.440017475885014
Cali A.M.,General,Otras formas de tenencia,1605,adequate,127988.40977887125,1507,0,1491,465000.0,788853.3333333334,1366560.0,,,,,,,450000.0,600000.0,800000.0,20.0,32.432432432432435,57.69230769230769,,54.009417878180884
Cali A.M.,Primaria o menos,Propietarios con vivienda pagada,802,adequate,60622.8577585395,745,745,733,500000.0,816840.0,1316666.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,600000.0,800000.0,17.046694305040365,27.4390243902439,49.17456972251493,0.0,45.883269655561776
Cali A.M.,Primaria o menos,Propietarios que pagan su vivienda,44,under_50,3361.26207826,43,42,43,400833.3333333333,711750.0,1232186.6666666667,300000.0,450000.0,804000.0,14.854260089686099,22.68431001890359,42.666666666666664,400000.0,550000.0,700000.0,12.587694270081569,23.728813559322035,53.333333333333336,39.995589457109915,42.191565332050494
Cali A.M.,Primaria o menos,Arrendatarios,849,adequate,72647.88748732049,811,811,811,400000.0,641166.6666666666,1067250.0,400000.0,520000.0,690000.0,19.642857142857142,30.76923076923077,51.450621695012146,400000.0,520000.0,690000.0,19.642857142857142,30.76923076923077,51.450621695012146,51.0662745901408,51.0662745901408
Cali A.M.,Primaria o menos,Otras formas de tenencia,454,adequate,35035.35488748575,419,0,415,365000.0,683325.0,1000000.0,,,,,,,400000.0,500000.0,700000.0,22.3463687150838,35.12469265893923,66.66666666666667,,59.01107258214765
Cali A.M.,Secundaria y media,Propietarios con vivienda pagada,1055,adequate,82470.13774554175,982,982,966,691640.0,1141333.3333333333,1800000.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,700000.0,1000000.0,15.498154981549815,24.709661477637756,40.0,0.0,38.09668402589932
Cali A.M.,Secundaria y media,Propietarios que pagan su vivienda,164,adequate,11693.544082019249,160,153,158,720000.0,1155500.0,1730875.0,420000.0,700000.0,1100000.0,12.280701754385966,19.318338622878432,34.166666666666664,600000.0,800000.0,1200000.0,16.883116883116884,24.638127502309825,40.0,29.39231340338322,35.818417950639855
Cali A.M.,Secundaria y media,Arrendatarios,2591,adequate,224438.0027540735,2484,2480,2480,474500.0,762500.0,1250000.0,450000.0,600000.0,700000.0,19.187126057355066,28.125,41.201716738197426,450000.0,600000.0,700000.0,19.187126057355066,28.125,41.201716738197426,45.688832426782795,45.688832426782795
Cali A.M.,Secundaria y media,Otras formas de tenencia,738,adequate,59923.385674641584,696,0,689,400000.0,700000.0,1200000.0,,,,,,,450000.0,600000.0,800000.0,21.07481559536354,32.432432432432435,58.394160583941606,,54.71805583792177
Cali A.M.,"Técnico, tecnólogo o pregrado",Propietarios con vivienda pagada,639,adequate,53974.592607104496,575,575,556,1100000.0,1866666.6666666667,3375000.0,0.0,0.0,0.0,0.0,0.0,0.0,800000.0,1200000.0,1800000.0,15.692428403295409,23.0430320943351,36.92307692307692,0.0,36.074531521940855
Cali A.M.,"Técnico, tecnólogo o pregrado",Propietarios que pagan su vivienda,256,adequate,16478.622655239167,242,237,237,1233333.3333333333,2000000.0,3724700.0,600000.0,1000000.0,1600000.0,10.416666666666666,17.601999239419786,27.472074636132373,850000.0,1200000.0,1500000.0,14.117647058823529,21.67300380228137,32.5,20.551267200622636,30.64291927396239
Cali A.M.,"Técnico, tecnólogo o pregrado",Arrendatarios,1623,adequate,137151.6157917219,1558,1552,1552,800800.0,1400000.0,2278000.0,600000.0,770000.0,1070000.0,17.54385964912281,25.0,38.23529411764706,600000.0,770000.0,1070000.0,17.54385964912281,25.0,38.23529411764706,38.92073211451379,38.92073211451379
Cali A.M.,"Técnico, tecnólogo o pregrado",Otras formas de tenencia,374,adequate,29733.885764911414,355,0,350,731000.0,1250000.0,2000000.0,,,,,,,550000.0,700000.0,1000000.0,16.346153846153847,29.166666666666668,47.61904761904762,,48.055969926828716
Cali A.M.,Postgrado,Propietarios con vivienda pagada,212,adequate,18990.495207504253,188,188,186,2625000.0,4000000.0,6888166.666666667,0.0,0.0,0.0,0.0,0.0,0.0,1200000.0,1600000.0,2500000.0,11.320754716981131,16.3265306122449,27.5,0.0,21.65669625356918
Cali A.M.,Postgrado,Propietarios que pagan su vivienda,94,under_100,7031.911068910833,85,84,85,2666666.6666666665,4095833.3333333335,5700000.0,1000000.0,1400000.0,2500000.0,9.090909090909092,16.071428571428573,20.5,1200000.0,1600000.0,2500000.0,11.609036963173692,16.3265306122449,25.0,13.68026087344841,17.09296490328766
Cali A.M.,Postgrado,Arrendatarios,216,adequate,18416.160984617083,203,203,203,2333333.3333333335,3583333.3333333335,5600000.0,800000.0,1200000.0,1990000.0,12.222222222222221,16.666666666666668,25.0,800000.0,1200000.0,1990000.0,12.222222222222221,16.666666666666668,25.0,18.991860400122082,18.991860400122082
Cali A.M.,Postgrado,Otras formas de tenencia,39,under_50,3295.7834518325,37,0,37,1500000.0,2266666.6666666665,3520000.0,,,,,,,800000.0,1000000.0,1800000.0,12.83456776919169,25.49019607843137,44.44444444444444,,43.14522307398319
Colombia (incluye Cali A.M.),General,Propietarios con vivienda pagada,89283,adequate,5434131.232222078,86965,86965,86053,408333.3333333334,836500.0,1666666.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,320000.0,600000.0,1000000.0,15.0,25.0,44.44444444444444,0.0,40.560538783780395
Colombia (incluye Cali A.M.),General,Propietarios que pagan su vivienda,9435,adequate,809928.3585143021,9191,9108,9129,800000.0,1475000.0,2966666.6666666665,500000.0,800000.0,1500000.0,12.658227848101266,20.333333333333332,33.9622641509434,600000.0,900000.0,1500000.0,14.893617021276595,22.857142857142858,36.0,29.50378135875331,33.350071797877
Colombia (incluye Cali A.M.),General,Arrendatarios,119414,adequate,7477928.633520287,117129,117026,117026,475000.0,855875.0,1500000.0,400000.0,600000.0,800000.0,17.647058823529413,26.704146170063247,40.62681369704005,400000.0,600000.0,800000.0,17.647058823529413,26.704146170063247,40.62681369704005,42.23324448786357,42.23324448786357
Colombia (incluye Cali A.M.),General,Otras formas de tenencia,74810,adequate,4652582.707580334,72922,0,72349,250000.0,488000.0,933333.3333333334,,,,,,,200000.0,320000.0,550000.0,14.705882352941176,25.53191489361702,49.382716049382715,,42.836534492738245
Colombia (incluye Cali A.M.),Primaria o menos,Propietarios con vivienda pagada,34083,adequate,2193202.6960236407,33346,33346,32937,280000.0,525000.0,940000.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,400000.0,600000.0,15.434083601286174,26.700784335539854,50.0,0.0,44.584174677998135
Colombia (incluye Cali A.M.),Primaria o menos,Propietarios que pagan su vivienda,1215,adequate,100704.17061628899,1188,1180,1181,400000.0,736750.0,1233333.3333333333,350000.0,540000.0,900000.0,14.285714285714286,28.210526315789473,52.50844123042565,400000.0,600000.0,800000.0,16.544117647058822,26.31578947368421,42.14963119072708,47.21814959990764,42.358896786016295
Colombia (incluye Cali A.M.),Primaria o menos,Arrendatarios,22108,adequate,1351027.9597044426,21687,21662,21662,355750.0,600000.0,1000000.0,300000.0,450000.0,600000.0,18.602540834845733,29.09090909090909,45.662100456621005,300000.0,450000.0,600000.0,18.602540834845733,29.09090909090909,45.662100456621005,47.41460207012833,47.41460207012833
Colombia (incluye Cali A.M.),Primaria o menos,Otras formas de tenencia,29403,adequate,2023302.5307540786,28678,0,28398,200000.0,390000.0,693333.3333333334,,,,,,,150000.0,250000.0,400000.0,14.173228346456694,25.641025641025642,50.63291139240506,,43.80886752088378
Colombia (incluye Cali A.M.),Secundaria y media,Propietarios con vivienda pagada,30243,adequate,1790798.487583971,29539,29539,29272,450000.0,813312.0,1423500.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,600000.0,850000.0,15.692428403295409,25.641025641025642,42.857142857142854,0.0,40.96417724725581
Colombia (incluye Cali A.M.),Secundaria y media,Propietarios que pagan su vivienda,2911,adequate,246336.17976443007,2853,2825,2838,600000.0,1000000.0,1500000.0,418000.0,610000.0,904000.0,13.966480446927374,23.362666458998522,37.71395416304033,600000.0,700000.0,1000000.0,17.197452229299365,26.68801708033093,42.857142857142854,36.623102003515015,41.88783887233194
